target_id,source_id,weight
8.00_70.00,7.50_69.50,0.0156443510867821
8.00_70.00,7.50_69.75,0.0156443510867821
8.00_70.00,7.50_70.00,0.0156443510867821
8.00_70.00,7.50_70.25,0.0156443510867821
8.00_70.00,7.50_70.50,0.0156443510867821
8.00_70.00,7.50_70.75,0.0156443510867821
8.00_70.00,7.50_71.00,0.00782217554339104
8.00_70.00,7.75_69.00,0.00781760770697826
8.00_70.00,7.75_69.25,0.0156352154139565
8.00_70.00,7.75_69.50,0.0156352154139565
8.00_70.00,7.75_69.75,0.0156352154139565
8.00_70.00,7.75_70.00,0.0156352154139565
8.00_70.00,7.75_70.25,0.0156352154139565
8.00_70.00,7.75_70.50,0.0156352154139565
8.00_70.00,7.75_70.75,0.0156352154139565
8.00_70.00,7.75_71.00,0.00781760770697826
8.00_70.00,8.00_69.00,0.00781289103458357
8.00_70.00,8.00_69.25,0.0156257820691671
8.00_70.00,8.00_69.50,0.0156257820691671
8.00_70.00,8.00_69.75,0.0156257820691671
8.00_70.00,8.00_70.00,0.0156257820691671
8.00_70.00,8.00_70.25,0.0156257820691671
8.00_70.00,8.00_70.50,0.0156257820691671
8.00_70.00,8.00_70.75,0.0156257820691671
8.00_70.00,8.00_71.00,0.00781289103458357
8.00_70.00,8.25_69.00,0.00780802561600562
8.00_70.00,8.25_69.25,0.0156160512320112
8.00_70.00,8.25_69.50,0.0156160512320112
8.00_70.00,8.25_69.75,0.0156160512320112
8.00_70.00,8.25_70.00,0.0156160512320112
8.00_70.00,8.25_70.25,0.0156160512320112
8.00_70.00,8.25_70.50,0.0156160512320112
8.00_70.00,8.25_70.75,0.0156160512320112
8.00_70.00,8.25_71.00,0.00780802561600562
8.00_70.00,8.50_69.00,0.00780301154387497
8.00_70.00,8.50_69.25,0.0156060230877499
8.00_70.00,8.50_69.50,0.0156060230877499
8.00_70.00,8.50_69.75,0.0156060230877499
8.00_70.00,8.50_70.00,0.0156060230877499
8.00_70.00,8.50_70.25,0.0156060230877499
8.00_70.00,8.50_70.50,0.0156060230877499
8.00_70.00,8.50_70.75,0.0156060230877499
8.00_70.00,8.50_71.00,0.00780301154387497
8.00_70.00,8.75_69.00,0.00779784891365233
8.00_70.00,8.75_69.25,0.0155956978273046
8.00_70.00,8.75_69.50,0.0155956978273046
8.00_70.00,8.75_69.75,0.0155956978273046
8.00_70.00,8.75_70.00,0.0155956978273046
8.00_70.00,8.75_70.25,0.0155956978273046
8.00_70.00,8.75_70.50,0.0155956978273046
8.00_70.00,8.75_70.75,0.0155956978273046
8.00_70.00,8.75_71.00,0.00779784891365233
8.00_70.00,9.00_69.00,0.00389693975437909
8.00_70.00,9.00_69.25,0.00779387950875818
8.00_70.00,9.00_69.50,0.00779387950875818
8.00_70.00,9.00_69.75,0.00779387950875818
8.00_70.00,9.00_70.00,0.00779387950875818
8.00_70.00,9.00_70.25,0.00779387950875818
8.00_70.00,9.00_70.50,0.00779387950875818
8.00_70.00,9.00_70.75,0.00779387950875818
8.00_70.00,9.00_71.00,0.00389693975437909
8.00_72.00,7.00_71.00,0.00391490543027822
8.00_72.00,7.00_71.25,0.00782981086055644
8.00_72.00,7.00_71.50,0.00782981086055644
8.00_72.00,7.00_71.75,0.00782981086055644
8.00_72.00,7.00_72.00,0.00782981086055644
8.00_72.00,7.00_72.25,0.00782981086055644
8.00_72.00,7.00_72.50,0.00782981086055644
8.00_72.00,7.00_72.75,0.00782981086055644
8.00_72.00,7.00_73.00,0.00391490543027822
8.00_72.00,7.25_71.00,0.00782659445685691
8.00_72.00,7.25_71.25,0.0156531889137138
